Feature,Importance
num__Product Price,0.9280693528077997
num__order date (DateOrders),0.04856152514580349
num__Product Category Id,0.004255729449514926
num__Order Item Cardprod Id,0.004185713741943428
num__Category Id,0.0038472496078728285
num__Latitude,0.0014311712588787981
num__Longitude,0.001396867083600041
num__Order Item Profit Ratio,0.001330509152415207
num__shipping date (DateOrders),0.0009780714492539525
num__Order Day,0.0006672940785065541
num__Order Month,0.00027649541650436905
num__Days for shipping (real),0.00027222313288477007
num__Shipping Delay,0.00026278678568987686
num__Days for shipment (scheduled),0.00010304186022899245
cat__Customer Segment_Corporate,8.681391401887594e-05
cat__Customer Segment_Consumer,8.608061898166321e-05
cat__Customer Segment_Home Office,8.47956140933243e-05
cat__Order Country_Bolivia,8.262541969332304e-05
cat__Category Name_Women's Apparel,7.97237920327476e-05
cat__Order Weekday_Tuesday,7.588779902101572e-05
cat__Order Weekday_Friday,7.521860413921321e-05
cat__Order Weekday_Sunday,7.393611269917428e-05
cat__Order Weekday_Monday,7.114250740229798e-05
cat__Type_TRANSFER,7.089816682362735e-05
cat__Department Name_Golf,7.019785553783553e-05
cat__Order Weekday_Wednesday,6.909869611553828e-05
cat__Order Status_PENDING,6.898714258751183e-05
cat__Type_DEBIT,6.726958389981895e-05
num__Weekend Order,6.3246956160978e-05
cat__Delivery Status_Shipping on time,6.122990710176247e-05
cat__Order Weekday_Thursday,6.0207683348569274e-05
cat__Order Status_COMPLETE,6.016608598176263e-05
cat__Order Weekday_Saturday,5.862310893119281e-05
cat__Order Status_PROCESSING,5.7068798113069594e-05
cat__Shipping Mode_Second Class,5.646472573416355e-05
cat__Order Country_Turkmenistán,5.553530642539027e-05
cat__Order Country_Alemania,5.2779505686465674e-05
cat__Order Status_ON_HOLD,5.2028795073946056e-05
cat__Order Status_PENDING_PAYMENT,5.1288490181887906e-05
cat__Order Country_México,5.11530806411167e-05
cat__Type_PAYMENT,4.922141248157655e-05
num__Department Id,4.76634040418866e-05
cat__Category Name_Shop By Sport,4.4966167045912194e-05
cat__Category Name_Fitness Accessories,4.3923226033686545e-05
cat__Department Name_Outdoors,3.7963596130624094e-05
cat__Order Country_Italia,3.7483308864059166e-05
cat__Category Name_Cleats,3.702530357617023e-05
cat__Order Country_Nicaragua,3.625012637831707e-05
cat__Department Name_Apparel,3.5232956785550105e-05
cat__Delivery Status_Advance shipping,3.513969320908251e-05
cat__Order Region_Central America,3.5004452157833865e-05
cat__Order Status_SUSPECTED_FRAUD,3.4507006675166706e-05
cat__Delivery Status_Shipping canceled,3.444035008956578e-05
cat__Shipping Mode_First Class,3.387897707398212e-05
cat__Order Status_CLOSED,3.3781566263819595e-05
cat__Type_CASH,3.315270711468713e-05
cat__Order Region_South of  USA ,3.2829722770910986e-05
cat__Order Country_Finlandia,3.258517324865113e-05
cat__Order Region_Western Europe,3.102400813363598e-05
cat__Category Name_Electronics,3.083461149461357e-05
cat__Shipping Mode_Standard Class,2.99398993723483e-05
cat__Order Country_Francia,2.9708705787593877e-05
cat__Category Name_Golf Gloves,2.9525755143998133e-05
cat__Order Country_Haití,2.795702490816598e-05
cat__Delivery Status_Late delivery,2.7727606074542035e-05
cat__Order Status_PAYMENT_REVIEW,2.7669904332436e-05
cat__Order Region_South America,2.766631064130749e-05
cat__Market_Pacific Asia,2.755727984217732e-05
cat__Order Country_Argelia,2.744531655919537e-05
cat__Category Name_Girls' Apparel,2.683846955550877e-05
num__Late_delivery_risk,2.6240231946506743e-05
cat__Order Country_Etiopía,2.5996742673332195e-05
cat__Order Region_Northern Europe,2.5795110341801054e-05
cat__Order Country_Cuba,2.545486718995477e-05
cat__Order Country_Filipinas,2.5133320335589402e-05
cat__Order Country_Brasil,2.47670216281761e-05
cat__Order Country_Bosnia y Herzegovina,2.4666062653312284e-05
cat__Order Region_West of USA ,2.385319650306418e-05
cat__Order Country_Irak,2.350988945673036e-05
cat__Order Country_Australia,2.3189259108075427e-05
cat__Market_LATAM,2.2136178934714684e-05
cat__Department Name_Footwear,2.1311014492036074e-05
cat__Order Country_Guinea,2.1285909750368396e-05
cat__Order Country_Polonia,2.0842833791328158e-05
cat__Order Region_Southeast Asia,2.0753237212357053e-05
cat__Order Region_South Asia,1.970206538767039e-05
cat__Order Country_Países Bajos,1.894453841308528e-05
cat__Order Country_Honduras,1.8830380300709877e-05
cat__Order Region_Oceania,1.8494587973611537e-05
cat__Order Region_North Africa,1.7853102855551943e-05
cat__Order Country_El Salvador,1.7585268570954608e-05
cat__Order Country_Guatemala,1.7527816761068497e-05
cat__Order Status_CANCELED,1.7391232723898648e-05
cat__Order Country_Reino Unido,1.719660126036041e-05
cat__Order Country_China,1.718967502598777e-05
cat__Order Country_Irán,1.6908410676753788e-05
cat__Category Name_Hockey,1.6793206363886262e-05
